sentence1,sentence2,similarity,euclidean_similarity
A woman is playing the flute.,A man is playing a flute.,0,1.0
A woman is cutting an onion.,A man is cutting onions.,0,1.0
A woman is carrying a boy.,A woman is carrying her baby.,0,1.0
The girl sang into a microphone.,The lady sang into the microphone.,0,1.0
The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,0,1.0
A plane is landing.,A animated airplane is landing.,0,1.0
The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.,0,1.0
Five kittens are eating out of five dishes.,Kittens are eating food on trays.,0,1.0
A woman is slicing some tuna.,A woman is cutting raw fish.,0,1.0
A man is pressing microwave buttons.,A man turns on the microwave.,0,1.0
Men are jumping into water from a bridge.,Men jump in a river.,0,1.0
A woman is slicing a potato.,A woman is slicing carrot.,0,1.0
A man is cutting up a potato.,A man is cutting up carrots.,0,1.0
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,0,1.0
A woman is chopping an onion.,A woman is chopping garlic with a knife.,0,1.0
A monkey is karate kicking a person.,A monkey pratices martial arts.,0,1.0
The lady made some slices on the shrimp.,A chef is slicing a shrimp.,0,1.0
The girl is slicing an onion.,A woman is chopping an onion into small pieces.,0,1.0
A small red and gray bird perched amongst the bare branches of a tree.,A red and brown bird is perched on branches.,0,1.0
Two airplanes in the sky.,A plane in the sky.,0,1.0
Black domestic cat lying on brown table.,A grey cat laying on a dining table.,0,1.0
Young baby girl sitting on table.,A woman with a smiling baby sitting on the table.,0,1.0
A red bird and four other birds sitting in the snow.,Five birds stand on the snow.,0,1.0
A laptop computer and a computer monitor.,A laptop and a PC at a workstation.,0,1.0
A white cat laying on an office chair.,A white cat laying on a sheet.,0,1.0
Left side of a silver train engine.,A close-up of a black train engine.,0,1.0
A woman is laying down on the floor and holding a baby up above her.,A man is laying on the floor holding a baby up above him.,0,1.0
Two dogs fighting in the snow.,Two dogs standing in the snow.,0,1.0
A black dog is running after a white dog in the snow.,Black dog chasing brown dog through snow,0,1.0
Black and white dog running through water.,A black and white dog is running through grass.,0,1.0
A skateboarder on a city street.,"A skateboarder in the air at a big, outdoor ramp.",0,1.0
Two girls walking in the ocean.,two girls walking in the street,0,1.0
A black dog running through the snow.,A black dog runs through the water.,0,1.0
A hockey player looks intently downward.,A hockey player during a game.,0,1.0
Two dogs are running on the grass in front of the trees.,A brown dog is running on the grass in front of some trees.,0,1.0
A man is carrying a canoe with a dog.,A dog is carrying a man in a canoe.,0,1.0
The people are leaving the airplane.,The people are entering the plane.,0,1.0
A player bounces a ball.,A player catching a ball.,0,1.0
Men are fighting after a basketball game.,The men are playing a game of basketball.,0,1.0
A group wading across a witch,A group wading across a ditch,0,1.0
The player shoots the winning points.,The basketball player is about to score points for his team.,0,1.0
The gate is blue.,The gate is yellow.,0,1.0
I don't think there are likely to be any standards that address this issue specifically.,"You're going to find answers all over the map for this one (i.e., there probably aren't ""standards"").",0,1.0
A method used to calculate the distance between stars is 3 Dimensional trigonometry.,You only need two-dimensional trigonometry if you know the distances to the two stars and their angular separation.,0,1.0
Here is a lexical decision task I wrote years ago using PHP and Javascript (github link).,"Just for reference, I ended up writing simple web-based lexical decision task software myself.",0,1.0
"It is hard to delineate emotion completely from thoughts or sensations, because emotion can contain both.","Technically speaking, an emotion is not different from thought the way it is processed in brain, both involve neurotransmitters.",0,1.0
There are actually quite a few differences between the different types of flour.,The difference is the amount of protein contained in the flour which can range from 5% to 15%.,0,1.0
I believe one cannot taste the difference between minced(canned) and fresh garlic once it is cooked.,"In my experience, fresh garlic is great for when you want texture, or to slow down the flavour infusion.",0,1.0
This depends on the shelf life of the cultivar of tomato you purchased.,"Tomatoes will last longer if kept in the fridge, but I actually recommend against keeping them there.",0,1.0
In some cases the implication could even be that Tom does not love her.,There is no implication about Tom whatsoever in such a sentence.,0,1.0
I'd suggest you look to the constructions of the native language(s) of your students.,"As bikeboy389 said, you can learn a lot by looking at students' native languages.",0,1.0
"I see some references to status as uncountable as well, but that doesn't make much sense to me.","There are some cases ""status"" may be accounted of countable.",0,1.0
"If I understand you correctly, you are looking for a hypernym of inclusion and exclusion.",Inclusion is the act of including and exclusion is the act of excluding.,0,1.0
"In standard English, I think ""don't got"" has the same register as ""ain't"".",I'd say the expression I don't got... is generally rare in spoken AmE.,0,1.0
These are tickets to the archaeological sites of Epidaurus (which includes the still in use theatre) and Mycenae.,I guess those are greek tickets (ÎµÎ¹ÏƒÎ¹Ï„Î·ÏÎ¹Î¿Î½) for excavation sites or museums.,0,1.0
"Yes, this is true and yes, in most cases indefinite articles indeed developed from numerals, as @MGN already said.","Indefinite articles developed from numerals, and the definite articles developed from demonstratives.",0,1.0
In some nowadays Indo-European languages you can still see rests of base-20 numeral systems.,"Modern Englishes, and many other well-known languages, use base 10 (ie decimal) systems of numerals.",0,1.0
"Zipfâ€™s law, as I understand it, is not really about languages, but about statistics and probability.","As with all natural laws, Zipf's law is an approximation.",0,1.0
A part of the question thusfar unattended is whether the concept of phoneme has always been contentious.,"""Phoneme"" is a theoretical construct which probably can't go away.",0,1.0
"If you arecomming from the non-linguistics environment, the best book is to start with Is Fromkin, Introduction to language.",This is what they recommend at Oxford as introductory textbooks to students starting a Masters' in Linguistics.,0,1.0
From what I'm seeing it's generally accepted that most English speakers have a vocabulary size of 15000 to 20000 words.,According to a statistical estimation I know roughly 7000 words in English.,0,1.0
"Yes, twins can develop their own language, but it's not a given.","Here's what I saw with my fraternal twins: While learning to speak, all children develop some of their own dialect.",0,1.0
I know of no firm evidence indicating that baby talk is either helpful or detrimental in language development.,"Baby talk, when used correctly is beneficial to speech development.",0,1.0
My son didn't become potty trained until about his 4th birthday.,Here are some things that worked with my son who started toilet training around 2.5 years.,0,1.0
