sentence1,sentence2,similarity,jaccard_similarity
A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,1,1.0
A young child is riding a horse.,A child is riding a horse.,1,1.0
A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,1,1.0
A man is erasing a chalk board.,The man is erasing the chalk board.,1,1.0
Three men are playing guitars.,Three men are on stage playing guitars.,1,1.0
A woman peels a potato.,A woman is peeling a potato.,1,1.0
People are playing cricket.,Men are playing cricket.,1,1.0
The cougar is chasing the bear.,A cougar is chasing a bear.,1,1.0
The man cut down a tree with an axe.,A man chops down a tree with an axe.,1,1.0
The man is playing the guitar.,A man is playing a guitar.,1,1.0
A man is climbing a rope.,A man climbs a rope.,1,1.0
Kittens are eating food.,Kittens are eating from dishes.,1,1.0
A woman is cooking eggs.,A woman is cooking something.,1,1.0
An animal is chewing on something.,An animal is chewing on a key chain.,1,1.0
A man is lifting weights in a garage.,A man is lifting weights.,1,1.0
An animal is biting a persons finger.,A slow loris is biting a persons finger.,1,1.0
A band is performing on a stage.,A band is playing onstage.,1,1.0
Elephants are walking down a trail.,A herd of elephants are walking along a trail.,1,1.0
A man is playing a guitar.,A man plays the guitar.,1,1.0
A man sitting on the floor plays a guitar.,A man sitting on the floor in a room is strumming a guitar.,1,1.0
A puppy plays with a plastic container.,The dog is playing with a plastic container.,1,1.0
A man plays the violin.,A man is playing violin.,1,1.0
A man plays the piano.,A man is playing a piano.,1,1.0
A man is eating food.,A man is eating something.,1,1.0
A toddler walks down a hallway.,A little girl is walking down a hallway.,1,1.0
Kids are dancing on stage.,Some people are dancing on stage.,1,1.0
A man is drilling a hole in a board.,Someone is drilling a hole in a piece of wood.,1,1.0
A man is fitting silencer on a pistol.,A man is adding a silencer to a gun.,1,1.0
Someone is stirring chili in a kettle.,Someone is stirring a pot of chili with a spoon.,1,1.0
The woman is cracking eggs into a bowl.,The lady broke raw eggs into a bowl.,1,1.0
A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.,1,1.0
A man is playing a guitar.,A guy is playing an instrument.,1,1.0
A woman is mixing ingrediants.,A woman is mixing food in a bowl.,1,1.0
A little boy is vacuuming the floor.,A boy is vacuuming.,1,1.0
A woman is applying eye liner to her eyelid using an eye pencil.,A woman is applying cosmetics to her eyelid.,1,1.0
A rabbit is playing with a toy rabbit.,A bunny is playing with a stuffed bunny.,1,1.0
A man shoots a man.,A man with a pistol shoots another man.,1,1.0
A man plays the guitar.,The man sang and played his guitar.,1,1.0
A woman pours oil into a skillet from a plastic bottle while she is talking.,An older woman is pouring oil into a skillet on the stove.,1,1.0
A man and woman are eating at a table.,A couple are eating a meal and talking.,1,1.0
A man and a woman walk through the woods.,The man and woman are walking.,1,1.0
A person is peeling shrimp.,A person is preparing shrimp.,1,1.0
A woman is cutting broccoli.,A woman is slicing broccoli.,1,1.0
A small dog laying on the bed.,A small dog is laying on a bed.,1,1.0
The man is slicing a potato.,A man is slicing potato.,1,1.0
The man is slicing a potato.,A man is slicing potato.,1,1.0
A person is peeling shrimp.,A man is peeling shrimp.,1,1.0
A woman is putting on sun glasses.,A woman puts on sunglasses.,1,1.0
Women are running.,Two women are running.,1,1.0
A man dives into a pool.,A man dives into a swimming pool.,1,1.0
The man is smashing garlic.,A man is smashing some garlic.,1,1.0
A man is slicing an onion.,A man slices an onion.,1,1.0
The man is hiking in the woods.,A man is tracking in the wood.,1,1.0
A woman is playing the guitar.,A person is playing a guitar.,1,1.0
A man is eating a pizza.,A man is eating a food.,1,1.0
A man is playing guitar.,A man plays a guitar.,1,1.0
A person is combing a cat hair.,A person is brushing a cat.,1,1.0
The puppy tried to get out of the tub.,A puppy is trying to get out of a bathtub.,1,1.0
Someone is pouring chicken broth into a pot.,The man is pouring broth into the pot.,1,1.0
A woman is slicing a big pepper.,A person is cutting a green pepper.,1,1.0
A man puts some cheese on a pizza.,A man is sprinkling shredded cheese on a pizza.,1,1.0
A person is picking a komodo dragon and putting it in a box.,A person is placing a baby komodo dragon into a container.,1,1.0
A tiger is walking around his cage.,A tiger walks around aimlessly.,1,1.0
A parrot is talking.,A parrot is talking into a microphone.,1,1.0
A woman is exercising.,A woman lifts weights.,1,1.0
A child runs into and out of the ocean waves.,A young boy is running toward and from the ocean waves.,1,1.0
A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.,1,1.0
The person is starting a fire.,A person makes fire.,1,1.0
A cat standing on tree branches.,A black and white cat is high up on tree branches.,1,1.0
The cows feed in the trough.,The brown and white cows are eating in the trough.,1,1.0
Red double decker bus driving down a street.,A red two story bus driving along the street.,1,1.0
A red double decker bus on a crowded street.,A double decker bus on a city street.,1,1.0
A jockey riding a horse in a pen.,A jockey rides a horse at a gallop.,1,1.0
A woman posing by a pillar with a U2 sign.,"a woman is standing by a pillar where ""u2"" is written.",1,1.0
The brown dog is resting his head on a white pillow.,A tan dog is lying on a couch and has its head on a white pillow.,1,1.0
The black and brown cow is looking at the camera.,The black and white bull is looking at the camera.,1,1.0
A smiling woman holding a small baby.,Two smiling women holding a baby.,1,1.0
A cat looking at the camera.,"A grey, black, and white cat looking at the camera.",1,1.0
Two women posing with a baby.,Two smiling women holding a baby.,1,1.0
A red and white plane flying on a sunny day.,Red and white plane flying through the air.,1,1.0
Red double decker bus on side of street.,A red double decker bus on a crowded street.,1,1.0
A bus drives down a busy road.,A green bus drives down a road.,1,1.0
An elderly Asian couple pose with a yawning baby at a dinner table.,An older Asian couple poses with a newborn baby at the dinner table.,1,1.0
Sheep are grazing in a grassy field near a stand of trees.,Sheep are grazing in the field in front of a line of trees.,1,1.0
the back of a stop sign with many stickers on it.,The back of a sign with stickers on.,1,1.0
Living room or den with large screen television.,Living room with tan furniture and flat screen television.,1,1.0
A doubly decker red bus driving down the road.,A red double decker bus driving down a street.,1,1.0
A Das Air Cargo plane sits on the runway.,A passenger plane parked on a runway.,1,1.0
A cat sleeps on purple sheet.,A black and white cat sleeps on a purple blanket.,1,1.0
A kitchen with wood cabinets and dining table.,A kitchen with wooden cabinets and furniture.,1,1.0
Two boys sit facing one another at a table and one points at the other.,Two people sit facing each other at a table as one points at the other.,1,1.0
Large white cruise ship floating on water.,Large cruise ship floating on the water.,1,1.0
Two bald eagles perched on a branch.,Two eagles are perched on a branch.,1,1.0
A woman equestrian riding a horse.,The woman is riding on the brown horse.,1,1.0
A white plane on the runway.,A white Swiss airplane approaches the runway.,1,1.0
A group of people eat at a table outside.,A group of people sitting at a restaurant table.,1,1.0
A black and white cat is sitting on a brown chair looking up.,Black and white cat sitting on wood chair looking up.,1,1.0
A black and white horned cow standing in a field.,A large black and white cow in a field.,1,1.0
"A long-haired man with a hat standing between two large, half-empty Coke bottles.",A man with a cap and jacket walking between two large bottles.,1,1.0
Domestic cat looking out window.,A white cat looking out of a window.,1,1.0
Two women are sheering a white sheep inside of a wooden building.,Two women shearing a white sheep in a wooden stall.,1,1.0
A man with glasses and two plastic bottles in the foreground.,A man talking with two water bottles sitting in front of him.,1,1.0
A close-up of a brown horse.,A close-up of a horse.,1,1.0
An office with multiple desks and green walls.,Small office space with bright green walls.,1,1.0
A white bicycle stands on a floor.,Old style bicycle parked on floor.,1,1.0
A bird eating from a bird feeder.,A yellow bird eating fruit on a bird feeder.,1,1.0
Black bird sitting on a concrete slab.,Black bird standing on concrete.,1,1.0
Dark colored dog standing in grassy field.,A grey dog standing in a grassy field.,1,1.0
A young blonde girl wearing a smile and a bicycle helmet.,A young girl wearing a bike helmet with a bicycle in the background.,1,1.0
Two brown horses standing in grassy field.,Brown horse standing in middle of grassy field.,1,1.0
Boy lying on couch with small white dog.,A small boy laying on a sofa with a dog.,1,1.0
A grey house with a red door.,House with a red door.,1,1.0
A woman with a white horse.,A woman leading a white horse.,1,1.0
The brown and white cows are eating in the trough.,Brown and white cows are eating from a trough.,1,1.0
A group of people having a meal outside.,A group of people eat at a table outside.,1,1.0
Two cats sitting together on the sofa looking out the window.,Two cats sit on the back of a couch looking out the window.,1,1.0
A blue scooter parked on a sidewalk.,A blue moped parked on the sidewalk.,1,1.0
Two gray dogs run together over the green grass.,Two grey dogs running in green grass.,1,1.0
Two dogs are running in a grassy field,Two dogs running through a grassy field.,1,1.0
The man and two young boys jump on a trampoline.,A man and two boys jump on a trampoline.,1,1.0
"A man eating an apple, sitting in public.",A man sits in a public place eating an apple.,1,1.0
two young girls hug each other in the grass.,two young girls holding each other on the grassy ground,1,1.0
Two white dogs are walking through deep white snow.,Two white dogs walk through a huge bank of mountain snow.,1,1.0
