sentence1,sentence2,similarity,cosine_similarity
A woman is playing the flute.,A man is playing a flute.,0,1.0
A woman is cutting an onion.,A man is cutting onions.,0,1.0
The girl sang into a microphone.,The lady sang into the microphone.,0,1.0
The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,0,1.0
A plane is landing.,A animated airplane is landing.,0,1.0
Five kittens are eating out of five dishes.,Kittens are eating food on trays.,0,1.0
A man is pressing microwave buttons.,A man turns on the microwave.,0,1.0
Men are jumping into water from a bridge.,Men jump in a river.,0,1.0
A woman is slicing a potato.,A woman is slicing carrot.,0,1.0
A man is cutting up a potato.,A man is cutting up carrots.,0,1.0
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,0,1.0
A woman is chopping an onion.,A woman is chopping garlic with a knife.,0,1.0
A monkey is karate kicking a person.,A monkey pratices martial arts.,0,1.0
The lady made some slices on the shrimp.,A chef is slicing a shrimp.,0,1.0
The girl is slicing an onion.,A woman is chopping an onion into small pieces.,0,1.0
A small red and gray bird perched amongst the bare branches of a tree.,A red and brown bird is perched on branches.,0,1.0
Two airplanes in the sky.,A plane in the sky.,0,1.0
Black domestic cat lying on brown table.,A grey cat laying on a dining table.,0,1.0
A laptop computer and a computer monitor.,A laptop and a PC at a workstation.,0,1.0
A white cat laying on an office chair.,A white cat laying on a sheet.,0,1.0
Left side of a silver train engine.,A close-up of a black train engine.,0,1.0
A woman is laying down on the floor and holding a baby up above her.,A man is laying on the floor holding a baby up above him.,0,1.0
Two dogs fighting in the snow.,Two dogs standing in the snow.,0,1.0
Black and white dog running through water.,A black and white dog is running through grass.,0,1.0
A black dog running through the snow.,A black dog runs through the water.,0,1.0
A hockey player looks intently downward.,A hockey player during a game.,0,1.0
A man is carrying a canoe with a dog.,A dog is carrying a man in a canoe.,0,1.0
A player bounces a ball.,A player catching a ball.,0,1.0
Men are fighting after a basketball game.,The men are playing a game of basketball.,0,1.0
The gate is blue.,The gate is yellow.,0,1.0
A method used to calculate the distance between stars is 3 Dimensional trigonometry.,You only need two-dimensional trigonometry if you know the distances to the two stars and their angular separation.,0,1.0
Here is a lexical decision task I wrote years ago using PHP and Javascript (github link).,"Just for reference, I ended up writing simple web-based lexical decision task software myself.",0,1.0
"It is hard to delineate emotion completely from thoughts or sensations, because emotion can contain both.","Technically speaking, an emotion is not different from thought the way it is processed in brain, both involve neurotransmitters.",0,1.0
There are actually quite a few differences between the different types of flour.,The difference is the amount of protein contained in the flour which can range from 5% to 15%.,0,1.0
In some cases the implication could even be that Tom does not love her.,There is no implication about Tom whatsoever in such a sentence.,0,1.0
I'd suggest you look to the constructions of the native language(s) of your students.,"As bikeboy389 said, you can learn a lot by looking at students' native languages.",0,1.0
"I see some references to status as uncountable as well, but that doesn't make much sense to me.","There are some cases ""status"" may be accounted of countable.",0,1.0
"If I understand you correctly, you are looking for a hypernym of inclusion and exclusion.",Inclusion is the act of including and exclusion is the act of excluding.,0,1.0
"In standard English, I think ""don't got"" has the same register as ""ain't"".",I'd say the expression I don't got... is generally rare in spoken AmE.,0,1.0
"Yes, this is true and yes, in most cases indefinite articles indeed developed from numerals, as @MGN already said.","Indefinite articles developed from numerals, and the definite articles developed from demonstratives.",0,1.0
In some nowadays Indo-European languages you can still see rests of base-20 numeral systems.,"Modern Englishes, and many other well-known languages, use base 10 (ie decimal) systems of numerals.",0,1.0
"If you arecomming from the non-linguistics environment, the best book is to start with Is Fromkin, Introduction to language.",This is what they recommend at Oxford as introductory textbooks to students starting a Masters' in Linguistics.,0,1.0
From what I'm seeing it's generally accepted that most English speakers have a vocabulary size of 15000 to 20000 words.,According to a statistical estimation I know roughly 7000 words in English.,0,1.0
"Yes, twins can develop their own language, but it's not a given.","Here's what I saw with my fraternal twins: While learning to speak, all children develop some of their own dialect.",0,1.0
I know of no firm evidence indicating that baby talk is either helpful or detrimental in language development.,"Baby talk, when used correctly is beneficial to speech development.",0,1.0
My son didn't become potty trained until about his 4th birthday.,Here are some things that worked with my son who started toilet training around 2.5 years.,0,1.0
"I don't have direct experience with bettas, but I've never heard that pairs will work long-term in any male/female combination.",Bettas are highly territorial and no matter what sexes you keep together they will fight.,0,1.0
Aristotle didn't put the world at the center of the universe per se.,Why did Aristotle place the earth at the centre of an infinite universe?,0,1.0
"The difference between ""necessary"" and ""sufficient"" is the direction of the logical arrow.","sufficient is an upper bound, necessary is a lower bound.",0,1.0
"Freezing motion generally requires one, maybe two things: fast shutter speed, and flash at the right time.","In addition to @Pearsonartphoto's answer, you can use flash (either the built-in or better yet, an extarnal) to freeze the motion.",0,1.0
The U.S. appears to have a smaller shadow economy for a few reasons in no particular order.,There are three main factors that drive the low shadow economy in the US.,0,1.0
"We only used Fartlek as a fitness measurement, and as a bit of fun.",Fartlek is not more effective than any proper interval training - just more fun!,0,1.0
I prefer to run the second half 1-2 minutes faster then the first.,I would definitely go for a slightly slower first half.,0,1.0
My experience is that a normal taxi is always cheaper.,When using a regular taxi make sure it's with a reputable company or you agree upon the rate upfront.,0,1.0
Shares of Coke closed New York Stock Exchange trading Thursday at $44.01.,"In morning trading on the New York Stock Exchange, Coca-Cola shares were down 34 cents at $43.67.",0,1.0
PG&E Corp. shares were up 39 cents or 2.6 percent at $15.59 on the New York Stock Exchange on Tuesday.,PG&E's shares gained 24 cents to $15.44 during Tuesday's trading on the New York Stock Exchange.,0,1.0
He was arrested Tuesday night at a northwest Atlanta tire shop after a national manhunt.,"He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.",0,1.0
"Agnew said Pinellas began baiting when rabies cases ""went from zero to 30"" in 1995.","Still, Pinellas rabies cases fell sharply to 17 in 1996 and 3 in 1997, Agnew said.",0,1.0
