sentence1,sentence2,similarity,jaccard_similarity
A woman is playing the guitar.,A man is playing guitar.,0,1.0
A woman is playing the flute.,A man is playing a flute.,0,1.0
A woman is cutting an onion.,A man is cutting onions.,0,1.0
A woman is carrying a boy.,A woman is carrying her baby.,0,1.0
A man is playing a guitar.,A man is playing a flute.,0,1.0
A man is finding something.,A woman is slicing something.,0,1.0
The girl sang into a microphone.,The lady sang into the microphone.,0,1.0
A man is speaking.,A man is spitting.,0,1.0
A man is playing a guitar.,A man is playing a trumpet.,0,1.0
A man is playing a flute.,A man is playing guitar.,0,1.0
A man is playing soccer.,A man is playing flute.,0,1.0
A girl is riding a horse.,A girl is riding a bicycle.,0,1.0
A woman is reading.,A woman is kneading dough.,0,1.0
A man is crying.,A woman is dancing.,0,1.0
The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,0,1.0
A man is playing a basketball.,A man is playing a piano.,0,1.0
A plane is landing.,A animated airplane is landing.,0,1.0
A man plays a guitar.,A man plays the piano.,0,1.0
A woman is slicing a meat.,A woman is singing on stage.,0,1.0
A man is talking on a phone.,A man is singing to a woman.,0,1.0
A man is playing an electronic keyboard.,A man is playing a flute.,0,1.0
A man is playing a guitar.,A man is eating a banana.,0,1.0
A man is jumping into water.,A man is cutting paper.,0,1.0
A guy is playing hackysack,A man is playing a key-board.,0,1.0
A man is talking with other women on the beach.,A man is walking down the street.,0,1.0
The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.,0,1.0
A woman is slicing some tuna.,A woman is cutting raw fish.,0,1.0
Batman and Robin fly a helicopter over water.,A helicopter flies over water.,0,1.0
A woman is cutting some herbs.,A woman is chopping cilantro.,0,1.0
The lady put the skewered shimp in the hot water.,The lady fried the breaded meat in hot oil.,0,1.0
A woman is riding a horse along a perimeter.,A dog is riding a skateboard.,0,1.0
A man jumping rope,A man is talking.,0,1.0
A woman is slicing a potato.,A woman is slicing carrot.,0,1.0
A man is playing a harp.,A woman is playing a guitar.,0,1.0
A man is cutting up a potato.,A man is cutting up carrots.,0,1.0
A man is dancing.,A man is singing.,0,1.0
A man is running.,A man is singing.,0,1.0
A man is playing a flute.,A man is playing guitar.,0,1.0
